_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
1274490,4156118,2017,,1969,TCHC,13,Toronto Centre,325 BLEECKER ST,24,327,2022-05-27,82,Evaluation needs to be conducted in 2 years,18,4,5,5,4,5,4,4,5,3,,4,5,4,4,3,4,4,3,4,,S1323,43.66938138,-79.37437191,314915.151,4836389.54
1274491,4156316,2017,,1969,TCHC,19,Beaches-East York,444 LUMSDEN AVE,42,183,2022-05-27,64,Evaluation needs to be conducted in 1 year,20,4,4,5,3,2,5,5,3,3,4,2,4,3,2,2,2,4,3,2,2,S1930,43.69562966,-79.30231098,320791.011,4839337.097
1274492,4156296,2017,,1963,PRIVATE,12,Toronto-St. Paul's,33 HOLLY ST,14,162,2022-05-27,83,Evaluation needs to be conducted in 2 years,16,5,5,5,4,4,5,,5,4,4,3,3,5,3,3,4,,4,,,S1228,,,313151.623,4840442.969
1274493,4153194,2019,,1920,PRIVATE,11,University-Rosedale,245 A HOWLAND AVE,3,24,2022-05-27,77,Evaluation needs to be conducted in 2 years,13,4,4,4,4,,4,,4,,,3,5,5,3,3,4,,3,,,S1126,43.67285863,-79.41120087,311944.724,4836772.006
1274494,4156250,2017,,1964,TCHC,13,Toronto Centre,295 SHUTER ST,16,300,2022-05-27,78,Evaluation needs to be conducted in 2 years,19,4,4,5,4,4,3,4,5,4,,4,4,4,3,4,4,4,3,3,4,S1329,43.65644666,-79.3654247,315647.841,4834985.943
1274495,4155920,2017,,1967,PRIVATE,5,York South-Weston,1775 WESTON RD,25,245,2022-05-27,71,Evaluation needs to be conducted in 2 years,19,4,4,4,4,4,3,4,4,3,3,2,3,4,4,3,4,4,3,3,,W0527,43.69941664,-79.51287144,303746.982,4839717.979
1274496,4156176,2018,,1953,PRIVATE,19,Beaches-East York,7 STAG HILL DR,4,37,2022-05-27,89,Evaluation needs to be conducted in 3 years,17,5,4,5,4,4,5,,4,,5,4,5,5,5,4,4,5,4,4,,S1927,43.70305465,-79.31051389,320053.882,4840170.906
1274497,4154541,2020,,1956,PRIVATE,8,Eglinton-Lawrence,65 WASDALE CRES,3,11,2022-05-27,85,Evaluation needs to be conducted in 2 years,16,5,5,5,5,3,5,,4,,,5,3,5,4,3,4,4,3,5,,N0823,43.73012124,-79.43763311,309808.878,4843130.784
1274498,4167701,2017,,1980,TCHC,13,Toronto Centre,417 GERRARD ST E,3,12,2022-05-26,67,Evaluation needs to be conducted in 2 years,15,3,3,3,3,3,3,,3,,,3,3,5,3,3,4,,4,4,,S1330,43.66202463,-79.36208056,315907.982,4835572.868
1274499,4156430,2017,,1972,TCHC,7,Humber River-Black Creek,7 ARLETA AVE,4,201,2022-05-26,78,Evaluation needs to be conducted in 2 years,19,4,4,5,4,4,4,3,4,4,,3,4,5,4,4,4,3,4,3,4,W0732,43.74201,-79.50087162,304714.372,4844449.658
1274500,4155806,2017,,1950,PRIVATE,20,Scarborough Southwest,1641 KINGSTON RD,3,11,2022-05-26,65,Evaluation needs to be conducted in 1 year,16,3,4,5,3,2,3,,3,,3,3,3,4,2,3,4,,3,4,,E2034,43.69086452,-79.26547759,323718.011,4838812.556
1274501,4154755,2017,,1970,TCHC,18,Willowdale,175 CUMMER AVE,4,246,2022-05-26,88,Evaluation needs to be conducted in 3 years,18,4,4,5,4,4,5,4,4,5,,4,5,5,5,4,4,,5,4,4,N1823,43.78785777,-79.40864078,312137.248,4849548.181
1274502,4156712,2017,,2014,TCHC,13,Toronto Centre,40 LOWER RIVER ST.,8,128,2022-05-26,82,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,4,4,4,4,,4,4,5,4,4,4,,4,4,4,S1336,43.65625786,-79.35584853,316411.458,4834934.032
1274503,4152821,,,1970,PRIVATE,24,Scarborough-Guildwood,3827 LAWRENCE AVE E,7,88,2022-05-26,72,Evaluation needs to be conducted in 2 years,19,3,3,4,4,4,5,3,3,3,3,4,4,5,3,4,3,3,4,3,,E2431,43.76204895,-79.21144047,328018.711,4846716.13
1274504,4288801,2017,,1920,PRIVATE,19,Beaches-East York,84 WILLOW AVE,3,18,2022-05-26,77,Evaluation needs to be conducted in 2 years,15,4,3,4,4,5,5,,4,,4,3,4,5,3,4,3,,3,,,S1942,43.67267031,-79.28669505,321984.865,4836768.337
1274505,4265577,2017,,2012,SOCIAL HOUSING,13,Toronto Centre,425 DUNDAS ST E,5,32,2022-05-26,75,Evaluation needs to be conducted in 2 years,15,3,4,5,3,3,4,4,4,,,3,4,3,4,4,4,,4,,,S1329,43.65908018,-79.36682324,315526.799,4835242.136
1274506,4169173,2017,,1960,PRIVATE,12,Toronto-St. Paul's,1685 EGLINTON AVE W,3,38,2022-05-25,73,Evaluation needs to be conducted in 2 years,14,3,4,5,3,,3,,3,,,3,4,5,3,4,4,,3,4,,S1222,43.69620317,-79.44637236,309106.94,4839363.111
1274507,4250524,2017,,1971,PRIVATE,22,Scarborough-Agincourt,10 CHICHESTER PL,16,220,2022-05-25,86,Evaluation needs to be conducted in 3 years,20,4,4,5,4,4,3,4,4,4,4,4,5,5,5,4,5,5,5,4,4,E2225,43.77642864,-79.32148353,319154.674,4848289.796
1274508,4254280,2017,,1957,PRIVATE,21,Scarborough Centre,2700 LAWRENCE AVE E,7,111,2022-05-24,70,Evaluation needs to be conducted in 2 years,20,3,3,5,3,3,4,3,3,3,3,3,4,5,3,3,4,4,4,4,3,E2129,43.75273974,-79.26107689,324024.834,4845670.215
1274509,5051013,2018,,1962,PRIVATE,2,Etobicoke Centre,505 THE WEST MALL,6,59,2022-05-24,88,Evaluation needs to be conducted in 3 years,18,4,3,5,5,4,5,,5,5,4,4,5,5,4,4,4,5,4,4,,W0231,43.64885911,-79.56802121,299290.266,4834104.598
1274510,4153751,,,1955,PRIVATE,11,University-Rosedale,171 ST CLAIR AVE E,4,36,2022-05-24,61,Evaluation needs to be conducted in 1 year,18,2,3,4,2,3,3,2,3,3,3,3,3,5,3,4,3,3,3,,,S1121,43.68955582,-79.38601833,313973.181,4838628.565
1274511,4264301,2017,,1961,PRIVATE,16,Don Valley East,60 NORTH HILLS TER,5,71,2022-05-24,83,Evaluation needs to be conducted in 2 years,20,4,4,5,4,4,4,4,4,4,5,4,5,5,4,4,4,3,4,4,4,N1627,43.73018689,-79.3409028,317616.98,4843168.044
1274512,4156557,2017,,1970,TCHC,24,Scarborough-Guildwood,3941 LAWRENCE AVE E,3,33,2022-05-21,65,Evaluation needs to be conducted in 1 year,17,2,2,5,3,3,4,,3,,,3,4,2,3,3,3,3,4,4,4,E2431,43.76362484,-79.20448746,328577.926,4846893.162
1274513,4589593,,,,PRIVATE,10,Spadina-Fort York,49 MC CAUL ST,4,40,2022-05-20,87,Evaluation needs to be conducted in 3 years,14,5,3,5,4,,5,,5,,,4,3,5,4,5,5,4,4,,,S1024,43.65159333,-79.39006245,313646.234,4834433.527
1274514,4153639,2019,,1915,PRIVATE,14,Toronto-Danforth,279 WOODFIELD RD,4,42,2022-05-20,55,Evaluation needs to be conducted in 1 year,13,2,2,3,2,,3,,4,,,2,3,5,2,3,3,,2,,,S1439,43.67165547,-79.3237011,319000.793,4836649.59
1274515,4152556,2017,,1937,PRIVATE,20,Scarborough Southwest,2406 QUEEN ST E,4,13,2022-05-20,81,Evaluation needs to be conducted in 2 years,15,4,4,5,4,4,4,,4,,,3,4,5,3,4,4,,5,4,,E2033,43.67477481,-79.27960211,322556.21,4837003.617
1274516,4152846,2017,,1967,PRIVATE,24,Scarborough-Guildwood,4000 LAWRENCE AVE E,12,141,2022-05-20,91,Evaluation needs to be conducted in 3 years,19,5,4,5,3,5,5,5,5,5,,5,5,5,4,4,4,4,4,4,5,E2428,43.76611208,-79.20001023,328937.41,4847170.769
1274517,4152845,2017,,1967,PRIVATE,24,Scarborough-Guildwood,4010 LAWRENCE AVE E,14,220,2022-05-20,87,Evaluation needs to be conducted in 3 years,18,5,4,5,5,4,4,4,4,4,,4,5,5,4,5,4,4,4,4,,E2428,43.76673157,-79.19884758,329030.765,4847239.93
1274518,4152822,2017,,1975,PRIVATE,24,Scarborough-Guildwood,3895 LAWRENCE AVE E,10,114,2022-05-20,69,Evaluation needs to be conducted in 2 years,19,4,3,5,2,3,4,3,4,4,2,3,4,5,3,4,4,4,3,2,,E2431,43.76313647,-79.2079803,328296.891,4846837.916
1274519,4152557,2017,,1932,PRIVATE,20,Scarborough Southwest,2402 QUEEN ST E,4,21,2022-05-20,83,Evaluation needs to be conducted in 2 years,14,4,5,5,4,4,4,,4,,,3,4,5,4,4,4,,4,,,E2033,43.67456893,-79.27985665,322540.371,4836989.545
1274520,4154676,2018,,1940,PRIVATE,8,Eglinton-Lawrence,284 LAWRENCE AVE W,3,15,2022-05-19,68,Evaluation needs to be conducted in 2 years,17,4,4,4,2,3,4,,4,,4,3,2,5,2,5,4,4,3,1,,N0824,43.7227819,-79.41476838,311651.724,4842317.086
1274521,5046735,,,,PRIVATE,10,Spadina-Fort York,165 BATHURST ST,6,96,2022-05-19,72,Evaluation needs to be conducted in 2 years,15,4,4,4,3,5,4,,3,4,,4,3,3,2,4,3,,4,,,S1029,43.64673173,-79.40357889,312555.982,4833868.531
1274522,4154376,2017,,1953,PRIVATE,6,York Centre,939-941 WILSON AVE,3,16,2022-05-19,86,Evaluation needs to be conducted in 3 years,16,4,4,5,4,4,4,,5,,5,4,5,5,4,4,4,,4,4,,N0632,43.72933702,-79.47151791,307073.58,4843029.948
1274523,4154158,2017,,1966,PRIVATE,15,Don Valley West,79 THORNCLIFFE PARK DR,17,319,2022-05-19,86,Evaluation needs to be conducted in 3 years,19,5,5,5,3,5,4,3,5,4,2,5,5,4,5,4,5,5,4,4,,N1533,43.7061383,-79.3415005,317558.451,4840476.663
1274524,4285956,2017,,1968,TCHC,5,York South-Weston,121 HUMBER BLVD,14,215,2022-05-19,65,Evaluation needs to be conducted in 1 year,19,3,3,3,2,5,5,3,3,3,,2,3,2,4,3,3,4,4,3,4,W0539,43.67843362,-79.48189259,,
1274525,4154390,2017,,1971,PRIVATE,6,York Centre,1491 WILSON AVE,4,40,2022-05-19,92,Evaluation needs to be conducted in 3 years,17,5,4,5,4,4,5,,5,5,,4,4,5,5,5,5,5,5,3,,N0631,43.72105936,-79.50472979,304403.425,4842122.21
1274526,4153786,2017,,1956,PRIVATE,15,Don Valley West,299 FORMAN AVE,4,29,2022-05-19,54,Evaluation needs to be conducted in 1 year,14,2,3,3,3,,3,,3,,,3,3,5,2,2,2,,3,1,,N1530,43.70777216,-79.38523196,314033.795,4840652.473
1274527,4155016,2017,,1952,PRIVATE,9,Davenport,365 WESTMOUNT AVE,3,29,2022-05-19,73,Evaluation needs to be conducted in 2 years,15,3,4,5,3,2,3,,4,,,4,4,5,3,3,4,,5,3,,S0925,43.68507334,-79.44443908,309263.801,4838125.757
1274528,4153149,2019,,1911,PRIVATE,9,Davenport,225 GLADSTONE AVE,4,27,2022-05-19,60,Evaluation needs to be conducted in 1 year,14,3,3,3,3,3,2,,3,,,3,5,2,3,3,3,,3,,,S0937,43.64935926,-79.42953552,310468.764,4834158.985
1274529,4154394,2017,,1960,PRIVATE,6,York Centre,1393 WILSON AVE,4,82,2022-05-19,91,Evaluation needs to be conducted in 3 years,17,4,4,5,5,4,4,,5,5,,4,5,5,4,4,5,5,5,4,,N0631,43.72170774,-79.50033281,304757.704,4842194.225
1274530,4154234,2017,,1971,PRIVATE,7,Humber River-Black Creek,1825 FINCH AVE W,16,171,2022-05-19,76,Evaluation needs to be conducted in 2 years,18,4,3,5,4,4,5,3,3,4,,3,4,5,3,5,4,3,3,3,,W0730,43.75788612,-79.51191243,303825.107,4846214.47
1274531,4152808,2018,,1977,PRIVATE,24,Scarborough-Guildwood,399 MARKHAM RD,15,254,2022-05-19,71,Evaluation needs to be conducted in 2 years,18,4,3,4,3,3,5,4,4,4,,3,3,3,4,3,3,4,4,3,,E2430,43.74922265,-79.22079627,327270.184,4845288.627
1274532,5004754,,,,PRIVATE,14,Toronto-Danforth,230 COSBURN AVE,3,32,2022-05-19,64,Evaluation needs to be conducted in 1 year,16,3,2,4,3,4,4,,3,,,3,2,5,2,3,4,3,3,3,,S1422,43.69075054,-79.34374013,317381.172,4838766.775
1274533,4153146,2017,,1915,PRIVATE,9,Davenport,1182 QUEEN ST W,3,25,2022-05-18,63,Evaluation needs to be conducted in 1 year,13,3,2,5,3,,3,,3,,,2,3,3,3,4,4,,3,,,S0937,43.64302441,-79.42580437,310770.385,4833455.456
1274534,4233146,2017,,1958,PRIVATE,21,Scarborough Centre,1731 VICTORIA PARK AVE,4,43,2022-05-18,84,Evaluation needs to be conducted in 2 years,17,4,5,5,4,4,5,,4,,4,5,4,5,4,4,3,4,4,3,,E2131,43.73710603,-79.30733277,320304.15,4843922.831
1274535,4155204,2017,,1960,PRIVATE,4,Parkdale-High Park,4033 OLD DUNDAS ST,5,47,2022-05-18,58,Evaluation needs to be conducted in 1 year,16,3,3,4,3,3,2,,3,,,3,3,5,2,2,2,3,2,3,,S0421,43.66370823,-79.50233798,304595.728,4835750.825
1274536,4155764,2019,,1955,PRIVATE,3,Etobicoke-Lakeshore,1 A BIRCHLEA AVE,3,21,2022-05-18,64,Evaluation needs to be conducted in 1 year,15,3,3,3,3,3,3,,3,,,3,4,5,3,3,3,,3,3,,W0334,43.59276217,-79.52740543,302571.59,4827869.423
1274537,4152930,2017,,1986,PRIVATE,4,Parkdale-High Park,66 OAKMOUNT RD,12,171,2022-05-18,87,Evaluation needs to be conducted in 3 years,20,5,5,5,5,4,5,3,4,5,3,4,5,5,4,4,4,5,4,4,4,S0428,43.65665348,-79.46369051,307713.136,4834967.66
1274538,4817599,2020,,1900,PRIVATE,12,Toronto-St. Paul's,595 ST CLAIR AVE W,3,15,2022-05-18,74,Evaluation needs to be conducted in 2 years,13,4,3,4,3,,4,,5,,,3,3,4,4,4,4,,3,,,S1235,43.68215859,-79.42201665,311071.858,4837803.382
1274539,4364249,2018,,1953,PRIVATE,19,Beaches-East York,9 STAG HILL DR,4,15,2022-05-18,91,Evaluation needs to be conducted in 3 years,16,5,3,5,5,5,5,,5,,5,4,4,5,5,3,5,,4,5,,S1927,43.70336356,-79.31052732,320055.105,4840174.599
1274540,4154211,2017,,1950,PRIVATE,7,Humber River-Black Creek,1738 WILSON AVE,3,10,2022-05-18,81,Evaluation needs to be conducted in 2 years,15,3,4,5,4,,4,,4,,,4,5,5,5,3,4,4,4,3,,W0734,43.72003163,-79.51416323,303643.321,4842008.141
1274541,4152819,2017,,1968,PRIVATE,24,Scarborough-Guildwood,567 SCARBOROUGH GOLF CLUB RD,16,224,2022-05-18,91,Evaluation needs to be conducted in 3 years,20,5,4,4,4,4,5,4,5,5,5,5,5,5,5,4,5,5,4,4,4,E2431,43.76133907,-79.21507435,327726.39,4846636.265
1274542,4155805,2017,,1950,PRIVATE,20,Scarborough Southwest,1633 KINGSTON RD,3,10,2022-05-18,73,Evaluation needs to be conducted in 2 years,14,4,4,4,3,3,4,,3,,,3,4,5,3,4,4,,3,,,E2034,43.69086452,-79.26547759,323718.011,4838812.556
1274543,4155804,2017,,1950,PRIVATE,20,Scarborough Southwest,1625 KINGSTON RD,3,11,2022-05-18,64,Evaluation needs to be conducted in 1 year,16,3,3,3,3,3,3,,3,,3,3,3,5,3,3,4,,3,3,,E2034,43.69086452,-79.26547759,323718.011,4838812.556
1274544,4156385,2017,,1940,PRIVATE,20,Scarborough Southwest,1481 KINGSTON RD,3,15,2022-05-18,59,Evaluation needs to be conducted in 1 year,15,3,3,3,3,3,3,,2,,,3,3,3,3,3,3,,3,3,,E2034,43.68842392,-79.26950096,323393.784,4838549.187
1274545,4156035,2017,,1940,PRIVATE,20,Scarborough Southwest,1463 KINGSTON RD,3,14,2022-05-18,60,Evaluation needs to be conducted in 1 year,15,3,3,3,3,3,3,,2,,,3,3,4,3,3,3,,3,3,,E2034,43.6879611,-79.26976689,323354.611,4838512.321
1274546,4156379,2017,,1940,PRIVATE,20,Scarborough Southwest,1449 KINGSTON RD,3,14,2022-05-18,59,Evaluation needs to be conducted in 1 year,16,3,3,3,3,3,3,,2,,,3,3,3,3,3,3,3,3,3,,E2034,43.68779447,-79.27032526,323298.758,4838460.592
1274547,4250265,2017,,1987,SOCIAL HOUSING,11,University-Rosedale,153 BORDEN ST,3,45,2022-05-18,61,Evaluation needs to be conducted in 1 year,15,3,3,5,3,3,3,,2,,,3,3,3,3,3,2,3,4,,,S1134,43.66226083,-79.40694054,312289.812,4835594.044
1274548,4154006,2017,,1961,PRIVATE,8,Eglinton-Lawrence,1112 AVENUE RD,4,13,2022-05-18,80,Evaluation needs to be conducted in 2 years,16,5,4,5,4,4,5,,3,,,4,4,5,4,4,3,3,4,3,,N0833,43.70828784,-79.41064326,311985.806,4840707.244
1274549,4155205,2017,,1959,PRIVATE,4,Parkdale-High Park,4029 OLD DUNDAS ST,8,29,2022-05-18,74,Evaluation needs to be conducted in 2 years,17,3,3,4,4,3,3,,3,3,,4,4,5,4,4,4,4,4,4,,S0421,43.66397087,-79.50213537,304612.07,4835780.002
1274550,4154210,2017,,1954,PRIVATE,7,Humber River-Black Creek,1780 WILSON AVE,3,31,2022-05-18,61,Evaluation needs to be conducted in 1 year,15,3,2,2,3,3,3,,2,,,3,4,5,4,4,3,,3,2,,W0734,43.71912569,-79.51811505,303324.903,4841907.561
1274551,4269424,2017,,1950,SOCIAL HOUSING,14,Toronto-Danforth,793 GERRARD ST E,5,28,2022-05-18,64,Evaluation needs to be conducted in 1 year,15,3,4,4,3,4,4,,3,,,3,4,1,3,3,3,,3,3,,S1434,43.66676482,-79.34563351,317233.48,4836101.799
1274552,4907186,2021,,2020,PRIVATE,18,Willowdale,35 GREENFIELD AVE,36,361,2022-05-18,88,Evaluation needs to be conducted in 3 years,18,5,4,5,4,,4,4,4,5,,4,5,5,4,4,4,4,5,4,5,N1826,43.76339261,-79.41015605,312018.228,4846829.996
1274553,4155115,,,1956,PRIVATE,5,York South-Weston,9 GREENTREE CRT,3,28,2022-05-18,73,Evaluation needs to be conducted in 2 years,14,3,4,3,4,4,5,,3,,,4,4,4,3,3,4,,3,,,W0532,43.69214713,-79.47946254,306440.017,4838910.374
1274554,4153991,2017,,1950,PRIVATE,12,Toronto-St. Paul's,115 EGLINTON AVE W,3,18,2022-05-18,61,Evaluation needs to be conducted in 1 year,14,3,3,4,2,2,3,,3,,,3,2,5,3,4,3,,3,,,S1227,43.70569217,-79.40218164,312668.051,4840419.64
1274555,4364249,2018,,1953,PRIVATE,19,Beaches-East York,9 STAG HILL DR,4,15,2022-05-17,88,Evaluation needs to be conducted in 3 years,16,4,3,5,5,5,5,,5,,5,4,4,5,4,3,4,,4,5,,S1927,43.70336356,-79.31052732,320055.105,4840174.599
1274556,4152853,2017,,1970,PRIVATE,22,Scarborough-Agincourt,20 CHICHESTER PL,14,189,2022-05-17,84,Evaluation needs to be conducted in 2 years,19,5,4,5,4,4,3,4,5,5,5,4,5,5,3,5,5,2,3,4,,E2225,43.77731232,-79.32176695,319131.65,4848387.918
1274557,4155146,2018,,1945,PRIVATE,5,York South-Weston,139 WOODWARD AVE,3,10,2022-05-17,70,Evaluation needs to be conducted in 2 years,16,4,4,3,4,3,2,,3,,4,4,3,5,4,3,3,,4,3,,W0525,43.7096316,-79.50715553,304207.833,4840852.683
1274558,4152749,2017,,1967,PRIVATE,21,Scarborough Centre,945 MIDLAND AVE,13,149,2022-05-17,72,Evaluation needs to be conducted in 2 years,18,3,4,3,4,3,5,3,4,3,,3,3,4,4,4,4,4,4,3,,E2134,43.73703464,-79.2585189,324236.128,4843925.117
1274559,4153043,2019,,1931,PRIVATE,4,Parkdale-High Park,3 ELM GROVE AVE,3,12,2022-05-17,68,Evaluation needs to be conducted in 2 years,15,3,4,3,3,3,4,,3,,4,4,3,5,3,3,3,,3,,,S0436,43.63881533,-79.4301843,310417.398,4832987.572
1274560,4155188,2017,,1954,PRIVATE,5,York South-Weston,2 JASPER AVE,3,22,2022-05-17,73,Evaluation needs to be conducted in 2 years,16,4,3,4,4,3,3,,3,,,4,3,5,3,4,4,4,4,3,,W0535,43.68350751,-79.48301258,306153.977,4837950.505
1274561,4152837,2017,,1992,SOCIAL HOUSING,24,Scarborough-Guildwood,38 ANDOVER CRES,4,25,2022-05-17,89,Evaluation needs to be conducted in 3 years,19,5,4,5,4,5,5,3,5,5,4,5,5,5,5,3,4,5,4,4,,E2432,43.76568668,-79.19494644,329345.274,4847124.988
1274562,4268877,,,,TCHC,21,Scarborough Centre,83 GILDER DR,6,24,2022-05-17,84,Evaluation needs to be conducted in 2 years,19,5,3,5,4,5,5,4,5,5,5,3,3,3,4,4,4,5,5,3,,E2134,43.73635477,-79.25389807,324608.572,4843850.685
1274563,4155134,2017,,1960,PRIVATE,5,York South-Weston,19 DENISON RD E,3,26,2022-05-17,64,Evaluation needs to be conducted in 1 year,15,2,3,2,3,3,3,,3,,,3,3,4,4,4,4,,4,3,,W0527,43.69631024,-79.50658715,304253.209,4839373.738
1274564,4154248,2017,,1972,PRIVATE,7,Humber River-Black Creek,3400 WESTON RD,27,263,2022-05-16,74,Evaluation needs to be conducted in 2 years,18,4,4,5,3,4,4,3,3,4,,3,4,5,3,4,4,3,3,4,,W0727,43.74981063,-79.54343266,301286.482,4845318.212
1274565,4155068,2017,,1959,PRIVATE,9,Davenport,2208 DUFFERIN ST,4,18,2022-05-16,64,Evaluation needs to be conducted in 1 year,16,3,3,3,3,3,4,,2,,,4,3,5,3,2,3,4,3,3,,S0922,43.69067643,-79.44845878,308939.113,4838748.997
1274566,4154744,2017,,1968,PRIVATE,18,Willowdale,2818 BAYVIEW AVE,3,20,2022-05-16,51,Evaluation needs to be conducted in 1 year,17,3,4,4,3,2,4,1,2,,,1,1,4,1,1,1,3,4,4,,N1828,43.76577826,-79.38834722,313774.078,4847096.221
1274567,4155734,2017,,1992,PRIVATE,9,Davenport,800 LANSDOWNE AVE,4,138,2022-05-16,78,Evaluation needs to be conducted in 2 years,20,4,4,4,3,4,4,4,3,4,4,4,4,5,3,4,4,4,4,4,4,S0930,43.66505315,-79.44608758,309120.177,4835899.067
1274568,4154025,2017,,1955,PRIVATE,8,Eglinton-Lawrence,3000 YONGE ST,12,272,2022-05-16,81,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,5,,3,3,4,4,5,5,3,4,4,4,4,4,,N0829,43.72376173,-79.40236715,312650.498,4842428
1274569,4152744,2017,,1962,PRIVATE,24,Scarborough-Guildwood,35 GREENBRAE CRCT,6,70,2022-05-16,89,Evaluation needs to be conducted in 3 years,20,5,5,3,4,5,5,4,4,4,4,5,5,5,4,4,4,5,5,5,4,E2425,43.75903647,-79.23167242,326390.498,4846376.987
1274570,4155092,2017,,2009,SOCIAL HOUSING,5,York South-Weston,2600 EGLINTON AVE W,3,32,2022-05-16,76,Evaluation needs to be conducted in 2 years,16,4,4,5,4,3,4,,3,,,3,3,5,4,4,3,,4,3,5,W0533,43.69083918,-79.47300586,306960.28,4838766.144
